NF62635;2012-04-23
NF198673;2012-04-17;R$ 29.05
NF197024;2012-04-03
NF62697;2012-04-24
NF198967;2012-04-19
NF198385;2012-04-14
NF198989;2012-04-19;R$ 817.43
NF197617;2012-04-07
NF62138;2012-04-11
NF62137;2012-04-11
NF197183;2012-04-04
NF197025;2012-04-03
NF145512;2012-04-23
NF199117;2012-04-20
NF197023;2012-04-03
NF146171;2012-04-30
NF144943;2012-04-17
NF198423;2012-04-14
NF198266;2012-04-13
NF61998;2012-04-07
NF199739;2012-04-26
NF197186;2012-04-04
NF197964;2012-04-11
NF198828;2012-04-18
NF146170;2012-04-30
NF199174;2012-04-20
NF198675;2012-04-17;R$ 29.05
NF198418;2012-04-14
NF144942;2012-04-17
NF198259;2012-04-13
NF62257;2012-04-13;R$ 43.37
NF198966;2012-04-19;R$ 529.77
NF144077;2012-04-09
NF199828;2012-04-27
NF199826;2012-04-27
NF196840;2012-04-02
NF198827;2012-04-18
NF197453;2012-04-05
NF197975;2012-04-11
NF62486;2012-04-19
NF198112;2012-04-12
NF62741;2012-04-25
NF199740;2012-04-26
NF198386;2012-04-14
NF145736;2012-04-25
NF197852;2012-04-10
NF61959;2012-04-07
NF62485;2012-04-19
NF198993;2012-04-19
NF143704;2012-04-04
NF62635;2012-04-23
NF198267;2012-04-13
NF62992;2012-04-30
NF62484;2012-04-19
NF62256;2012-04-13;R$ 65.80
NF198967;2012-04-19
NF198385;2012-04-14
NF198989;2012-04-19;R$ 817.43
NF197617;2012-04-07
NF197183;2012-04-04
NF197184;2012-04-04
NF197023;2012-04-03
NF196822;2012-04-02
NF146171;2012-04-30
NF144943;2012-04-17
NF197841;2012-04-10
NF197021;2012-04-03
NF198423;2012-04-14
NF199326;2012-04-23
NF61998;2012-04-07
NF199739;2012-04-26
NF197186;2012-04-04
NF62607;2012-04-20
NF199174;2012-04-20
NF197954;2012-04-11
NF198096;2012-04-12
NF62634;2012-04-23
NF198418;2012-04-14
NF198259;2012-04-13
NF199743;2012-04-26
NF62257;2012-04-13;R$ 43.37
NF198283;2012-04-13
NF198966;2012-04-19;R$ 529.77
NF144077;2012-04-09
NF144076;2012-04-09
NF199828;2012-04-27
NF199826;2012-04-27
NF197057;2012-04-03
NF198676;2012-04-17
NF198827;2012-04-18
NF145735;2012-04-25
NF198112;2012-04-12
NF198443;2012-04-14
NF61970;2012-04-07
NF199740;2012-04-26
NF198825;2012-04-18
NF198386;2012-04-14
NF197852;2012-04-10
NF199120;2012-04-20
NF61958;2012-04-07
NF199976;2012-04-28
NF62485;2012-04-19
NF62809;2012-04-26
NF198449;2012-04-14
NF143704;2012-04-04
NF198267;2012-04-13
NF62992;2012-04-30
NF62258;2012-04-13
NF145513;2012-04-23
NF62484;2012-04-19
NF62256;2012-04-13;R$ 65.80
NF198110;2012-04-12
NF196821;2012-04-02
NF197184;2012-04-04
NF197328;2012-04-04
NF197953;2012-04-11
NF197020;2012-04-03
NF197840;2012-04-10
NF196822;2012-04-02
NF197841;2012-04-10
NF196842;2012-04-02
NF197021;2012-04-03
NF198095;2012-04-12
NF62696;2012-04-24
NF198837;2012-04-18
NF199326;2012-04-23
NF197452;2012-04-05
NF199872;2012-04-27
NF62607;2012-04-20
NF199470;2012-04-24
NF198826;2012-04-18;R$ 43.58
NF197954;2012-04-11
NF196839;2012-04-02
NF198096;2012-04-12
NF62139;2012-04-11
NF197026;2012-04-03
NF62634;2012-04-23
NF62212;2012-04-12
NF199774;2012-04-26
NF199743;2012-04-26
NF198283;2012-04-13
NF144076;2012-04-09
NF62638;2012-04-23
NF197057;2012-04-03
NF198676;2012-04-17
NF145097;2012-04-18
NF199471;2012-04-24
NF145735;2012-04-25
NF197029;2012-04-03
NF198111;2012-04-12
NF199489;2012-04-24
NF62742;2012-04-25
NF198443;2012-04-14
NF62990;2012-04-30
NF145096;2012-04-18
NF62991;2012-04-30
NF61881;2012-04-05
NF197022;2012-04-03
NF199120;2012-04-20
NF61958;2012-04-07
NF196841;2012-04-02
NF199976;2012-04-28
NF199744;2012-04-26
NF62809;2012-04-26
NF144083;2012-04-09
NF198449;2012-04-14
NF62258;2012-04-13
NF145513;2012-04-23
NF;
NF199864;2012-04-27
NF199469;2012-04-24
NF198265;2012-04-13
NF198110;2012-04-12
NF199827;2012-04-27
NF62259;2012-04-13
NF196821;2012-04-02
NF197702;2012-04-09
NF197328;2012-04-04
NF197953;2012-04-11
NF197020;2012-04-03
NF197840;2012-04-10
NF197187;2012-04-04
NF196842;2012-04-02
NF198095;2012-04-12
NF62696;2012-04-24
NF62740;2012-04-25
NF198837;2012-04-18
NF197452;2012-04-05
NF197951;2012-04-11
NF199872;2012-04-27
NF199470;2012-04-24
NF199618;2012-04-25
NF198826;2012-04-18;R$ 43.58
NF196839;2012-04-02
NF197442;2012-04-05
NF62139;2012-04-11
NF197026;2012-04-03
NF61971;2012-04-07
NF197616;2012-04-07
NF;
NF197024;2012-04-03
NF62697;2012-04-24
NF62212;2012-04-12
NF199774;2012-04-26
NF62138;2012-04-11
NF62137;2012-04-11
NF197025;2012-04-03
NF145512;2012-04-23
NF62638;2012-04-23
NF199117;2012-04-20
NF145097;2012-04-18
NF199471;2012-04-24
NF198266;2012-04-13
NF197029;2012-04-03
NF198111;2012-04-12
NF199489;2012-04-24
NF62742;2012-04-25
NF62990;2012-04-30
NF197964;2012-04-11
NF198828;2012-04-18
NF145096;2012-04-18
NF62991;2012-04-30
NF61881;2012-04-05
NF146170;2012-04-30
NF197022;2012-04-03
NF198675;2012-04-17;R$ 29.05
NF196841;2012-04-02
NF199744;2012-04-26
NF144083;2012-04-09
NF144942;2012-04-17
NF199864;2012-04-27
NF199469;2012-04-24
NF198265;2012-04-13
NF199827;2012-04-27
NF62259;2012-04-13
NF197702;2012-04-09
NF196840;2012-04-02
NF197453;2012-04-05
NF197975;2012-04-11
NF62486;2012-04-19
NF197187;2012-04-04
NF62740;2012-04-25
NF62741;2012-04-25
NF197951;2012-04-11
NF145736;2012-04-25
NF199618;2012-04-25
NF198674;2012-04-17
NF61959;2012-04-07
NF197442;2012-04-05
NF198993;2012-04-19
NF197616;2012-04-07