No. NF;DATA EMISSAO;VALOR IPI
NF 62635;2012-04-23
NF 198673;2012-04-17;R$ 29.05
NF 197024;2012-04-03
NF 62697;2012-04-24
NF 198967;2012-04-19
NF 198385;2012-04-14
NF 198989;2012-04-19;R$ 817.43
NF 197617;2012-04-07
NF 62138;2012-04-11
NF 62137;2012-04-11
NF 197183;2012-04-04
NF 197025;2012-04-03
NF 145512;2012-04-23
NF 199117;2012-04-20
NF 197023;2012-04-03
NF 146171;2012-04-30
NF 144943;2012-04-17
NF 198423;2012-04-14
NF 198266;2012-04-13
NF 61998;2012-04-07
NF 199739;2012-04-26
NF 197186;2012-04-04
NF 197964;2012-04-11
NF 198828;2012-04-18
NF 146170;2012-04-30
NF 199174;2012-04-20
NF 198675;2012-04-17;R$ 29.05
NF 198418;2012-04-14
NF 144942;2012-04-17
NF 198259;2012-04-13
NF 62257;2012-04-13;R$ 43.37
NF 198966;2012-04-19;R$ 529.77
NF 144077;2012-04-09
NF 199828;2012-04-27
NF 199826;2012-04-27
NF 196840;2012-04-02
NF 198827;2012-04-18
NF 197453;2012-04-05
NF 197975;2012-04-11
NF 62486;2012-04-19
NF 198112;2012-04-12
NF 62741;2012-04-25
NF 199740;2012-04-26
NF 198386;2012-04-14
NF 145736;2012-04-25
NF 197852;2012-04-10
NF 61959;2012-04-07
NF 62485;2012-04-19
NF 198993;2012-04-19
NF 143704;2012-04-04
NF 62635;2012-04-23
NF 198267;2012-04-13
NF 62992;2012-04-30
NF 62484;2012-04-19
NF 62256;2012-04-13;R$ 65.80
NF 198967;2012-04-19
NF 198385;2012-04-14
NF 198989;2012-04-19;R$ 817.43
NF 197617;2012-04-07
NF 197183;2012-04-04
NF 197184;2012-04-04
NF 197023;2012-04-03
NF 196822;2012-04-02
NF 146171;2012-04-30
NF 144943;2012-04-17
NF 197841;2012-04-10
NF 197021;2012-04-03
NF 198423;2012-04-14
NF 199326;2012-04-23
NF 61998;2012-04-07
NF 199739;2012-04-26
NF 197186;2012-04-04
NF 62607;2012-04-20
NF 199174;2012-04-20
NF 197954;2012-04-11
NF 198096;2012-04-12
NF 62634;2012-04-23
NF 198418;2012-04-14
NF 198259;2012-04-13
NF 199743;2012-04-26
NF 62257;2012-04-13;R$ 43.37
NF 198283;2012-04-13
NF 198966;2012-04-19;R$ 529.77
NF 144077;2012-04-09
NF 144076;2012-04-09
NF 199828;2012-04-27
NF 199826;2012-04-27
NF 197057;2012-04-03
NF 198676;2012-04-17
NF 198827;2012-04-18
NF 145735;2012-04-25
NF 198112;2012-04-12
NF 198443;2012-04-14
NF 61970;2012-04-07
NF 199740;2012-04-26
NF 198825;2012-04-18
NF 198386;2012-04-14
NF 197852;2012-04-10
NF 199120;2012-04-20
NF 61958;2012-04-07
NF 199976;2012-04-28
NF 62485;2012-04-19
NF 62809;2012-04-26
NF 198449;2012-04-14
NF 143704;2012-04-04
NF 198267;2012-04-13
NF 62992;2012-04-30
NF 62258;2012-04-13
NF 145513;2012-04-23
NF 62484;2012-04-19
NF 62256;2012-04-13;R$ 65.80
NF 198110;2012-04-12
NF 196821;2012-04-02
NF 197184;2012-04-04
NF 197328;2012-04-04
NF 197953;2012-04-11
NF 197020;2012-04-03
NF 197840;2012-04-10
NF 196822;2012-04-02
NF 197841;2012-04-10
NF 196842;2012-04-02
NF 197021;2012-04-03
NF 198095;2012-04-12
NF 62696;2012-04-24
NF 198837;2012-04-18
NF 199326;2012-04-23
NF 197452;2012-04-05
NF 199872;2012-04-27
NF 62607;2012-04-20
NF 199470;2012-04-24
NF 198826;2012-04-18;R$ 43.58
NF 197954;2012-04-11
NF 196839;2012-04-02
NF 198096;2012-04-12
NF 62139;2012-04-11
NF 197026;2012-04-03
NF 62634;2012-04-23
NF 62212;2012-04-12
NF 199774;2012-04-26
NF 199743;2012-04-26
NF 198283;2012-04-13
NF 144076;2012-04-09
NF 62638;2012-04-23
NF 197057;2012-04-03
NF 198676;2012-04-17
NF 145097;2012-04-18
NF 199471;2012-04-24
NF 145735;2012-04-25
NF 197029;2012-04-03
NF 198111;2012-04-12
NF 199489;2012-04-24
NF 62742;2012-04-25
NF 198443;2012-04-14
NF 62990;2012-04-30
NF 145096;2012-04-18
NF 62991;2012-04-30
NF 61881;2012-04-05
NF 197022;2012-04-03
NF 199120;2012-04-20
NF 61958;2012-04-07
NF 196841;2012-04-02
NF 199976;2012-04-28
NF 199744;2012-04-26
NF 62809;2012-04-26
NF 144083;2012-04-09
NF 198449;2012-04-14
NF 62258;2012-04-13
NF 145513;2012-04-23
NF ;
NF 199864;2012-04-27
NF 199469;2012-04-24
NF 198265;2012-04-13
NF 198110;2012-04-12
NF 199827;2012-04-27
NF 62259;2012-04-13
NF 196821;2012-04-02
NF 197702;2012-04-09
NF 197328;2012-04-04
NF 197953;2012-04-11
NF 197020;2012-04-03
NF 197840;2012-04-10
NF 197187;2012-04-04
NF 196842;2012-04-02
NF 198095;2012-04-12
NF 62696;2012-04-24
NF 62740;2012-04-25
NF 198837;2012-04-18
NF 197452;2012-04-05
NF 197951;2012-04-11
NF 199872;2012-04-27
NF 199470;2012-04-24
NF 199618;2012-04-25
NF 198826;2012-04-18;R$ 43.58
NF 196839;2012-04-02
NF 197442;2012-04-05
NF 62139;2012-04-11
NF 197026;2012-04-03
NF 61971;2012-04-07
NF 197616;2012-04-07
NF ;
NF 197024;2012-04-03
NF 62697;2012-04-24
NF 62212;2012-04-12
NF 199774;2012-04-26
NF 62138;2012-04-11
NF 62137;2012-04-11
NF 197025;2012-04-03
NF 145512;2012-04-23
NF 62638;2012-04-23
NF 199117;2012-04-20
NF 145097;2012-04-18
NF 199471;2012-04-24
NF 198266;2012-04-13
NF 197029;2012-04-03
NF 198111;2012-04-12
NF 199489;2012-04-24
NF 62742;2012-04-25
NF 62990;2012-04-30
NF 197964;2012-04-11
NF 198828;2012-04-18
NF 145096;2012-04-18
NF 62991;2012-04-30
NF 61881;2012-04-05
NF 146170;2012-04-30
NF 197022;2012-04-03
NF 198675;2012-04-17;R$ 29.05
NF 196841;2012-04-02
NF 199744;2012-04-26
NF 144083;2012-04-09
NF 144942;2012-04-17
NF 199864;2012-04-27
NF 199469;2012-04-24
NF 198265;2012-04-13
NF 199827;2012-04-27
NF 62259;2012-04-13
NF 197702;2012-04-09
NF 196840;2012-04-02
NF 197453;2012-04-05
NF 197975;2012-04-11
NF 62486;2012-04-19
NF 197187;2012-04-04
NF 62740;2012-04-25
NF 62741;2012-04-25
NF 197951;2012-04-11
NF 145736;2012-04-25
NF 199618;2012-04-25
NF 198674;2012-04-17
NF 61959;2012-04-07
NF 197442;2012-04-05
NF 198993;2012-04-19
NF 197616;2012-04-07